BA section,BA sub-section,BA UI field,dev-int card,Status,Matched label
Personal Information (ข้อมูลส่วนตัว),Personal Information,Attachment,Personal information,FOUND,Attachment
Position & Organization (ตำแหน่งและสังกัด),Organization Information,Organization,Position & assignment,FOUND,Organization
Position & Organization (ตำแหน่งและสังกัด),Target Position,Position,Position & assignment,FOUND,Position
Position & Organization (ตำแหน่งและสังกัด),Target Position,Company,Position & assignment,FOUND,Company
Position & Organization (ตำแหน่งและสังกัด),Organization Information,Cost Centre,Position & assignment,FOUND,Cost Centre
Position & Organization (ตำแหน่งและสังกัด),Organization Information,Function,Position & assignment,FOUND,Function
Position & Organization (ตำแหน่งและสังกัด),Organization Information,Point of Sales,Position & assignment,FOUND,Point of Sales
Position & Organization (ตำแหน่งและสังกัด),Organization Information,Zone,Position & assignment,FOUND,Zone
Position & Organization (ตำแหน่งและสังกัด),Organization Information,HR District,Position & assignment,FOUND,HR District
Position & Organization (ตำแหน่งและสังกัด),Organization Information,Work Location,Position & assignment,FOUND,Work Location
Position & Organization (ตำแหน่งและสังกัด),Organization Information,Business unit,Position & assignment,FOUND,Business unit
Position & Organization (ตำแหน่งและสังกัด),Organization Information,Group,Position & assignment,FOUND,Group
Position & Organization (ตำแหน่งและสังกัด),Organization Information,Store Brand/ Format,Position & assignment,FOUND,Store Brand/ Format
Position & Organization (ตำแหน่งและสังกัด),Organization Information,store size,Position & assignment,FOUND,store size
Position & Organization (ตำแหน่งและสังกัด),Organization Information,Store/ Branch Code,Position & assignment,FOUND,Store/ Branch Code
Position & Organization (ตำแหน่งและสังกัด),Organization Information,Brand,Position & assignment,FOUND,Brand
Position & Organization (ตำแหน่งและสังกัด),Organization Information,SSO Location,Position & assignment,FOUND,SSO Location
Position & Organization (ตำแหน่งและสังกัด),Organization Information,Time Zone,Position & assignment,FOUND,Time Zone
Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Name,Emergency contacts,FOUND,Name
Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Relationship,Emergency contacts,FOUND,Relationship
Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary,Emergency contacts,PARTIAL,"rendered as a ""Primary Contact"" badge on Contact #1"
Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Phone,Emergency contacts,FOUND,Phone
Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),copy Address from Employee,Emergency contacts,MISSING,
Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Country,Emergency contacts,FOUND,Country
Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),House Number,Emergency contacts,FOUND,House Number
Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Building,Emergency contacts,FOUND,Building
Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Floor,Emergency contacts,FOUND,Floor
Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Village,Emergency contacts,FOUND,Village
Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Moo,Emergency contacts,FOUND,Moo
Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Lane / Soi,Emergency contacts,FOUND,Lane / Soi
Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Street,Emergency contacts,FOUND,Street
Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Province,Emergency contacts,FOUND,Province
Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),District,Emergency contacts,FOUND,District
Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Sub-District,Emergency contacts,FOUND,Sub-District
Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Postal Code,Emergency contacts,FOUND,Postal Code
Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Primary Emergency Contact (ผู้ติดต่อฉุกเฉิน),Attachment,Emergency contacts,FOUND,Attachment
Time Information (ข้อมูลเวลางาน),,Day off Type,Time information,FOUND,Day off Type
Time Information (ข้อมูลเวลางาน),,PF service End Date,Time information,FOUND,PF service End Date (on Employment information)
Time Information (ข้อมูลเวลางาน),,Time Management Status,Time information,FOUND,Time Management Status
compensation Information,Payroll Information,Payslips,Compensation Information (Payroll),FOUND,Payslips
compensation Information,Payroll Information,E-Letter,Compensation Information (Payroll),FOUND,E-Letter
compensation Information,Payroll Information,50BIS,Compensation Information (Payroll),FOUND,50BIS
compensation Information,Payroll Information,Tax Deduction,Compensation Information (Payroll),FOUND,Tax Deduction
Employment Information,,CurrentJobEffectiveDate,Employment information,FOUND,CurrentJobEffectiveDate
Employment Information,,Current Corporate Title Effective Date,Employment information,FOUND,Current Corporate Title Effective Date
Employment Information,,Current JG Effective Date,Employment information,FOUND,Current JG Effective Date
Employment Information,,Current PG Effective Date,Employment information,FOUND,Current PG Effective Date
Employment Information,,Current Position Effective Date,Employment information,FOUND,Current Position Effective Date
Employment Information,,Current Store Branch Effective Date,Employment information,FOUND,Current Store Branch Effective Date
Employment Information,,Hire Date,Employment information,FOUND,Hire Date
Employment Information,,Original Start Date,Employment information,FOUND,Original Start Date
Employment Information,,Seniority Start Date,Employment information,FOUND,Seniority Start Date
Employment Information,,Year of service,Employment information,FOUND,Year of service
Employment Information,,Pass Probation Date/Confirm Date,Employment information,FOUND,Pass Probation Date/Confirm Date
Employment Information,,Current Years in Corporate Title,Employment information,FOUND,Current Years in Corporate Title
Employment Information,,Current Years in JG,Employment information,FOUND,Current Years in JG
Employment Information,,Current Years in PG,Employment information,FOUND,Current Years in PG
Employment Information,,Current Years in Position,Employment information,FOUND,Current Years in Position
Employment Information,,Current Years in Store Branch,Employment information,FOUND,Current Years in Store Branch
Employment Information,,Retire­ment Date,Employment information,FOUND,Retire­ment Date
Employment Information,,CG previous Employee ID,Employment information,FOUND,CG previous Employee ID
Employment Information,,DVT previous ID,Employment information,FOUND,DVT previous ID
Employment Information,,PF service Date,Employment information,FOUND,PF service Date
Employment Information,,Org. Chart,Employment information,FOUND,Org. Chart
Job Information,,Failed Probation Date,Job Information (Termination),FOUND,Failed Probation Date
Job Information,,probation result,Job Information (Termination),FOUND,probation result
Job Information,,Additional Information (Termination),Job Information (Termination),FOUND,Additional Information (Termination)
Job Information,,OK to Rehire,Job Information (Termination),FOUND,OK to Rehire
Time Information (ข้อมูลเวลางาน),,Work Schedule,Time information,FOUND,Work Schedule
Time Information (ข้อมูลเวลางาน),,Holiday Type Condition,Time information,FOUND,Holiday Type Condition
Time Information (ข้อมูลเวลางาน),,O.T. Flag,Time information,FOUND,O.T. Flag
Time Information (ข้อมูลเวลางาน),,Override Standard Weekly Hours,Time information,FOUND,Override Standard Weekly Hours
Time Information (ข้อมูลเวลางาน),,FTE,Time information,FOUND,FTE
Time Information (ข้อมูลเวลางาน),,Standard Weekly Hours,Time information,FOUND,Standard Weekly Hours
Time Information (ข้อมูลเวลางาน),,Daily Working Hours,Time information,FOUND,Daily Working Hours
Time Information (ข้อมูลเวลางาน),,Working Days per Week,Time information,FOUND,Working Days per Week
Time Information (ข้อมูลเวลางาน),,Holiday Calendar,Time information,FOUND,Holiday Calendar
Work Permit Information (ใบอนุญาตทำงาน),,Document Type,(none),NO CARD,
Work Permit Information (ใบอนุญาตทำงาน),,Country,(none),NO CARD,
Work Permit Information (ใบอนุญาตทำงาน),,Document Number,(none),NO CARD,
Work Permit Information (ใบอนุญาตทำงาน),,Issue Date,(none),NO CARD,
Work Permit Information (ใบอนุญาตทำงาน),,Expiry Date,(none),NO CARD,
Work Permit Information (ใบอนุญาตทำงาน),,Arrival date (VISA),(none),NO CARD,
Work Permit Information (ใบอนุญาตทำงาน),,90 days report (VISA),(none),NO CARD,
Work Permit Information (ใบอนุญาตทำงาน),,Attachment,(none),NO CARD,
Pending,,Username,(none),NO CARD,
compensation,,Review Name,Compensation Review,FOUND,Review Name
compensation,,Review Start,Compensation Review,FOUND,Review Start
compensation,,Review End,Compensation Review,FOUND,Review End
compensation,,Job Title,Compensation Review,FOUND,Job Title
compensation,,Performance Management Rating,Compensation Review,FOUND,Performance Management Rating
compensation,,Salary Before Review,Compensation Review,FOUND,Salary Before Review
compensation,,Merit,Compensation Review,FOUND,Merit
compensation,,Salary After Review,Compensation Review,FOUND,Salary After Review
compensation,,Compa-Ratio,Compensation Review,FOUND,Compa-Ratio
compensation,,Total Pay,Compensation Review,FOUND,Total Pay
compensation,,Bonus,Compensation Review,FOUND,Bonus
compensation,,Stock,Compensation Review,FOUND,Stock
compensation,,Option,Compensation Review,FOUND,Option
compensation,,Grant Date,Compensation Review,FOUND,Grant Date
compensation,,Lump Sum,Compensation Review,FOUND,Lump Sum
E-Letter,,Year,E-Letter,FOUND,Year
E-Letter,,Group,E-Letter,FOUND,Group
E-Letter,,Attachment,E-Letter,FOUND,Attachment
E-Letter,,More Information,E-Letter,FOUND,More Information
E-Letter,,Year,E-Letter,FOUND,Year
E-Letter,,Group,E-Letter,FOUND,Group
E-Letter,,Attachment,E-Letter,FOUND,Attachment
E-Letter,,More Information,E-Letter,FOUND,More Information
Work Experience Within Company,,Company (Current) -> start date,Work Experience Within Company,FOUND,Company (Current) -> start date
Work Experience Within Company,,Company (Current) -> end date,Work Experience Within Company,FOUND,Company (Current) -> end date
Work Experience Within Company,,Company (Current) -> event,Work Experience Within Company,FOUND,Company (Current) -> event
Work Experience Within Company,,Work Experience Within Company (History) -> startdate,Work Experience Within Company,FOUND,Work Experience Within Company (History) -> startdate
Work Experience Within Company,,Company (Current) -> end date,Work Experience Within Company,FOUND,Company (Current) -> end date
Work Experience Within Company,,Company (Current) -> company,Work Experience Within Company,FOUND,Company (Current) -> company
Salary History,,Start Date,Salary History,FOUND,Start Date
Salary History,,Salary Amount,Salary History,FOUND,Salary Amount
Salary History,,Changed Amount,Salary History,FOUND,Changed Amount
Salary History,,Reason,Salary History,FOUND,Reason
Previous Employment,,Previous Work History-> startdate,Previous Employment,FOUND,Previous Work History-> startdate
Previous Employment,,Previous Work History-> enddate,Previous Employment,FOUND,Previous Work History-> enddate
Previous Employment,,Previous Work History-> Company Name,Previous Employment,FOUND,Previous Work History-> Company Name
Previous Employment,,Type of Business,Previous Employment,FOUND,Type of Business
Previous Employment,,Function,Previous Employment,FOUND,Function
Previous Employment,,Position,Previous Employment,FOUND,Position
